Prato,Ingrediente
Espaguete,Massa de Espaguete
Espaguete,Molho de Tomate
Espaguete,Queijo
Hambúrguer,Pão de Hambúrguer
Hambúrguer,Carne Bovina
Hambúrguer,Alface
Hambúrguer,Queijo
Hambúrguer,Tomate
Salada,Alface
Salada,Tomate
Salada,Cenoura
Salada,Cebola
Steak,Carne Bovina
Steak,Batata
Steak,Molho de Barbecue
Pizza,Massa de Pizza
Pizza,Molho de Tomate
Pizza,Queijo
Pizza,Presunto
Sopa,Batata
Sopa,Cenoura
Sopa,Cebola
Sopa,Caldo Concentrado
Frango Assado,Frango
Frango Assado,Batata
Frango Assado,Ervas Finas
Peixe Grelhado,Peixe
Peixe Grelhado,Limão
Peixe Grelhado,Azeite
Ramen,Macarrão Oriental
Ramen,Ovo
Ramen,Molho de Soja
Ramen,Cebolinha
Panquecas,Farinha de Trigo
Panquecas,Ovo
Panquecas,Leite
Panquecas,Mel
Batata Frita,Batata
Batata Frita,Sal
Donut,Farinha de Trigo
Donut,Açúcar
Donut,Chocolate
Donut,Leite
Risoto,Arroz
Risoto,Frango
Risoto,Creme de Leite
Risoto,Ervas Finas
Curry Oriental,Carne Bovina
Curry Oriental,Cebola
Curry Oriental,Batata
Curry Oriental,Molho de Soja
Curry Oriental,Arroz
Tacos,Tortilla
Tacos,Carne Bovina
Tacos,Alface
Tacos,Tomate
Tacos,Queijo
Wrap de Frango,Frango
Wrap de Frango,Alface
Wrap de Frango,Tortilla
Wrap de Frango,Molho de Iogurte
Sushi,Arroz
Sushi,Peixe
Sushi,Molho de Soja
Sushi,Alga
Crepioca,Ovo
Crepioca,Tapioca
Crepioca,Queijo
Bife com Ovo,Carne Bovina
Bife com Ovo,Ovo
Bife com Ovo,Batata
Mac and Cheese,Macarrão
Mac and Cheese,Queijo
Mac and Cheese,Leite
Mac and Cheese,Manteiga
Waffle com Morango,Farinha de Trigo
Waffle com Morango,Ovo
Waffle com Morango,Leite
Waffle com Morango,Morango
Waffle com Morango,Açúcar
Sundae,Leite
Sundae,Açúcar
Sundae,Chocolate
Sundae,Morango
Sundae,Baunilha
Quiche,Ovo
Quiche,Leite
Quiche,Queijo
Quiche,Presunto
Quiche,Farinha de Trigo
Yakissoba,Macarrão Oriental
Yakissoba,Frango
Yakissoba,Brócolis
Yakissoba,Molho de Soja
Yakissoba,Cenoura
